nickname:	name
abo:	Abomasnow
abr:	Abra
abs:	Absol
ac:	Accelgor
aeg:	Aegislash
aer:	Aerodactyl
ag:	Aggron
ai:	Aipom
ala:	Alakazam
alo:	Alomomola
alt:	Altaria
ama:	Amaura
amb:	Ambipom
amo:	Amoonguss
amp:	Ampharos
an:	Anorith
ara:	Araquanid
arb:	Arbok
arca:	Arcanine
arce:	Arceus
archen:	Archen
archeo:	Archeops
ari:	Ariados
arm:	Armaldo
arom:	Aromatisse
aron:	Aron
art:	Articuno
aud:	Audino
aur:	Aurorus
av:	Avalugg
ax:	Axew
aze:	Azelf
azum:	Azumarill
azur:	Azurill
bag:	Bagon
bal:	Baltoy
ban:	Banette
barba:	Barbaracle
barbo:	Barboach
basc:	Basculin
bast:	Bastiodon
bay:	Bayleef
bear:	Beartic
beau:	Beautifly
bee:	Beedrill
beh:	Beheeyem
beld:	Beldum
bello:	Bellossom
bells:	Bellsprout
ber:	Bergmite
bew:	Bewear
bib:	Bibarel
bid:	Bidoof
bin:	Binacle
bis:	Bisharp
blac:	Blacephalon
blas:	Blastoise
blaz:	Blaziken
blis:	Blissey
blit:	Blitzle
bol:	Boldore
bon:	Bonsly
bouf:	Bouffalant
boun:	Bounsweet
brai:	Braixen
brav:	Braviary
bre:	Breloom
bri:	Brionne
bronzon:	Bronzong
bronzor:	Bronzor
bru:	Bruxish
bud:	Budew
bui:	Buizel
bul:	Bulbasaur
bune:	Buneary
bunn:	Bunnelby
bur:	Burmy
but:	Butterfree
buz:	Buzzwole
cacn:	Cacnea
cact:	Cacturne
cam:	Camerupt
carb:	Carbink
carn:	Carnivine
carr:	Carracosta
carv:	Carvanha
casc:	Cascoon
cast:	Castform
cat:	Caterpie
celeb:	Celebi
celes:	Celesteela
chand:	Chandelure
chans:	Chansey
chari:	Charizard
charj:	Charjabug
charma:	Charmander
charme:	Charmeleon
chat:	Chatot
cherr:	Cherrim
cheru:	Cherubi
chesn:	Chesnaught
chesp:	Chespin
chik:	Chikorita
chimc:	Chimchar
chime:	Chimecho
chinc:	Chinchou
ching:	Chingling
ci:	Cinccino
clam:	Clamperl
clau:	Clauncher
claw:	Clawitzer
clay:	Claydol
clefab:	Clefable
clefai:	Clefairy
cleff:	Cleffa
clo:	Cloyster
cob:	Cobalion
cof:	Cofagrigus
combe:	Combee
combu:	Combusken
comf:	Comfey
con:	Conkeldurr
corp:	Corphish
cors:	Corsola
cosmoe:	Cosmoem
cosmog:	Cosmog
cot:	Cottonee
crabo:	Crabominable
crabr:	Crabrawler
crad:	Cradily
cran:	Cranidos
craw:	Crawdaunt
cre:	Cresselia
croa:	Croagunk
crob:	Crobat
croc:	Croconaw
cru:	Crustle
cry:	Cryogonal
cubc:	Cubchoo
cubo:	Cubone
cut:	Cutiefly
cy:	Cyndaquil
dark:	Darkrai
darm:	Darmanitan
dart:	Dartrix
daru:	Darumaka
dec:	Decidueye
ded:	Dedenne
dee:	Deerling
dei:	Deino
delc:	Delcatty
deli:	Delibird
delp:	Delphox
deo:	Deoxys
dewg:	Dewgong
dewo:	Dewott
dewp:	Dewpider
